Year,Month,Core,Water vol.,Dependent Variable,Temperature,d13C-CO2,d13C-CH4,TN,TOC,TC,CN,Corg,BD 10cm,WC 10cm,BD 3cm,WC 3cm,Soil volume,Salinity
2021,5,1,440,75.90751239,34.5,-12.402,-43.065,0.068,0.653,7.023,11.25346757,1.892,1.1,44.14,0.97,64.33,746,12.26
2021,5,2,420,-476.1994842,34.5,-12.73,-44.273,0.065,0.637,7.154,11.43725408,1.826,1.28,40.89,0.96,61.6,728.66,11.26
2021,5,3,440,253.0948953,34.5,-12.28,-43.719,0.074,0.66,6.864,10.35939577,1.964,1.06,45.88,0.99,57.83,728.66,10.83
2021,5,4,420,-405.4030588,34.5,-12.309,-43.657,0.061,0.523,6.944,10.048683,1.329,1.19,39.6,0.85,68.72,832.75,15.52
2021,7,1,520,264.3602467,34.5,-12.058,-30.921,0.117,1.186,7.838,11.80559842,4.536,1.11,41.71,1.27,37.06,763.35,
2021,7,2,410,152.0189557,34.5,-11.135,-49.208,0.099,1.007,7.955,11.86035436,3.353,1.19,37.53,1.11,55.45,832.75,
2021,7,3,320,-145.0150293,34.5,-12.294,-48.734,0.093,0.925,7.23,11.59735659,2.656,1.24,39.82,0.96,55.67,763.35,
2021,7,4,240,133.9040106,34.5,-11.195,-48.294,0.125,1.213,7.669,11.33674332,3.515,1.19,41.56,1.113333333,49.39333333,832.75,
2021,11,1,515,41.65416762,33.5,-11.864,-48.017,0.094,0.9,6.897,11.1751589,3.057,1.34,41.08,1.13,50.7,346.98,
2021,11,2,485,147.6334652,33.5,-11.013,-48.43,0.049,0.633,5.902,15.04971445,2.083,1.3,35.66,1.1,45.55,624.56,
2021,11,3,495,284.6609629,33.5,-12.808,-48.986,0.079,0.935,6.13,13.74566869,2.739,1.38,33.19,0.98,52.79,693.96,
2021,11,4,460,-41.74947037,33.5,-11.52,-48.412,0.072,0.787,6.491,12.65667712,2.661,1.31,35.83,1.13,49.09,624.56,
2021,12,1,0,-1427.371502,28,-12.218,-47.625,0.072,0.807,6.486,13.09537391,2.671,1.29,31.01,1.1,41.94,728.66,
2021,12,2,0,-2872.802671,28,-12.865,-47.762,0.066,0.822,5.73,14.54187679,2.432,1.33,32.53,0.99,45.29,763.35,
2021,12,3,0,-2039.925088,28,-13.592,-48.131,0.072,0.808,6.019,13.17020597,2.357,1.24,34.41,0.97,47.81,853.57,
2021,12,4,0,-5837.76532,28,-14.558,-48.312,0.062,0.661,5.635,12.35570228,2.001,1.32,34.51,1.01,43.76,798.05,
2021,2,1,0,-1330.378745,23.8,-14.006,-47.787,0.104,0.968,7.694,10.8134468,2.938,1.35,33.16,1.01,75.68,707.84,12.05
2021,2,2,0,226.0142847,23.8,-13.652,-47.851,0.035,0.615,6.081,20.73028838,2.546,1.37,30.97,1.38,7.82,714.78,11.26
2021,2,3,0,-613.4898272,23.8,-13.566,-47.596,0.049,0.508,6.255,12.15907347,1.719,1.4,30.73,1.13,37.33,818.87,11.63
2021,2,4,0,-1012.19839,23.8,-14.021,-47.657,0.049,0.544,5.84,12.86252625,2.033,1.42,30.53,1.25,36.18,687.02,12.86
2022,3,1,404,425.5690178,24.5,-11.434,-47.626,0.087,1.112,7.28,14.8827058,3.712,1.26,41.59,1.11,49,711.31,7.439
2022,3,2,411,-63.91955424,24.5,-12.27,-47.387,0.062,0.9,6.848,16.88936012,2.915,1.34,35.99,1.08,55.72,728.66,8.811
2022,3,3,427,106.5804915,24.5,-12.147,-47.831,0.05,0.673,6.745,15.7884428,2.171,1.33,39.05,1.07,48.73,746,7.989
2022,3,4,461,-78.60035817,24.5,-12.075,-47.569,0.069,0.844,6.539,14.29804576,2.85,1.43,29.77,1.13,52.37,815.4,8.329
2022,4,1,0,22746.60334,28.9,-12.932,-47.974,0.085,0.674,7.4,9.204621717,1.863,1.42,37.8,0.92,77.89,680.08,10.6
2022,4,2,0,11631.96169,28.9,-12.243,-47.258,0.057,0.63,7.548,12.83030929,1.44,1.31,39.77,0.76,87.48,742.53,10.93
2022,4,3,0,-1810.434902,28.9,-12.935,-47.109,0.037,0.7,6.476,22.35100104,2.315,1.48,28.79,1.1,72.87,874.39,10.92
2022,4,4,0,19033.38061,28.9,-12.414,-48.015,0.047,0.591,6.33,14.62041663,1.611,1.41,44.1,0.91,77.88,832.75,10.5
2022,5,1,0,-3893.404625,33.1,-10.32,-46.943,0.087,0.739,7.285,9.868707435,3.03,1.16,39.81,1.37,36.2,895.2,19.83
2022,5,2,0,-5901.691411,33.1,-11.436,-48.395,0.052,0.69,6.512,15.59798494,2.49,1.56,49.01,1.2,32.55,784.17,20.94
2022,5,3,0,-5577.650328,33.1,-11.434,-47.342,0.053,0.605,6.038,13.28301902,2.603,1.49,31.48,1.43,31.33,881.33,20.14
2022,5,4,0,-7825.6848,33.1,-12.334,-47.582,0.043,0.608,5.702,16.66164344,2.376,1.45,30.32,1.3,31.22,804.99,17.3
2022,6,1,0,919.6556084,34.2,-11.357,-46.512,0.096,0.83,6.264109612,10.07189906,2.323,1.27,33.93,0.93,46.81,763.35,21.59
